season,tour,start_date,end_date,player,round,statistic,measure,value
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Off-the-Tee,tvalue,-0.597
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Off-the-Tee,tvalue,-0.597
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Tee-to-Green,tvalue,-0.953
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Tee-to-Green,tvalue,-0.953
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Total,tvalue,3.468
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Total,tvalue,3.468
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Eagles,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Birdies,tvalue,9
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Pars,tvalue,15
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Pars,tvalue,15
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Bogeys,tvalue,3
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Bogeys,tvalue,3
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Doubles,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Other,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Scrambling,tvalue,0.8333
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Scrambling,tvalue,0.8333
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Driving Distance Avg,tvalue,291.4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Driving Distance Avg,tvalue,291.4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Fairways Hit,tvalue,0.8636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Fairways Hit,tvalue,0.8636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Fairway Opportunities,tvalue,22
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Fairway Opportunities,tvalue,22
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Longest Drive,tvalue,311
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Longest Drive,tvalue,311
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,GIR,tvalue,0.7857
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,GIR,tvalue,0.7857
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,GIR Opportunities,tvalue,28
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,GIR Opportunities,tvalue,28
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Sand Saves,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Sand Saves,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Sand Saves Opportunities,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Sand Saves Opportunities,tvalue,1
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Average Putts - GIR,tvalue,1.636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Average Putts - GIR,tvalue,1.636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Total Putts - GIR,tvalue,36
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Total Putts - GIR,tvalue,36
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,Putts Per Round,tvalue,27.64
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,Putts Per Round,tvalue,27.64
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Putting,tvalue,2.655
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Putting,tvalue,2.655
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,1,SG: Around-the-Green,tvalue,-0.11
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Chris Baker,2,SG: Around-the-Green,tvalue,-0.11
